Time (s),x (m),y (m),z (m),vx (m/s),vy (m/s),vz (m/s),B_North (nT),B_East (nT),B_Down (nT),RollTorque (Nm),PitchTorque (Nm),YawTorque (Nm),OmegaX (rad/s),OmegaY (rad/s),OmegaZ (rad/s),Power (Watt)
10,-6.719667969064003,0.3805436787916973,0.008703426912894023,-0.0002635700701814695,-0.004775571374508803,0.006034422505112345,2.544693255387668e-05,4.607012632464484e-06,-3.6949257679200814e-06,-6.362922336907966e-06,-6.362922336907966e-06,-1.9470659603126663e-06,0.1999936370776631,0.0999936370776631,0.2999936370776631,0
20,-6.72186371262959,0.33276409505444005,0.06904575846230354,-0.00017557392484544696,-0.004780241105573617,0.006033911741879209,2.5462032407065717e-05,4.620240101156877e-06,-3.1728978395051654e-06,1.0968134650615766e-06,-6.368659937369194e-06,-6.368659937369194e-06,0.19995356516611446,0.0999995212608392,0.2999535651661145,0
30,-6.72317937255679,0.2849409430023744,0.1293790206721747,-8.755527836320916e-05,-0.004784284942791575,0.006032608658706703,2.5474498312790164e-05,4.633237087823331e-06,-2.650460910826962e-06,-9.168291439217968e-06,4.8068046669604e-06,-4.361486772257568e-06,0.19989685113657304,0.0999580576753608,0.299896851136573,0
40,-6.723614781913619,0.2370804842744244,0.18969529116571837,4.742530536907715e-07,-0.004787702360064983,0.006030513437869017,2.548432655367206e-05,4.6460048554169295e-06,-2.1276832849140492e-06,-3.4488620356222085e-06,-7.69175087853429e-06,-3.4488620356222085e-06,0.19987916520820376,0.09994409034091903,0.29987916520820374,0
50,-6.723169889936941,0.18918898535058146,0.24998664992142117,8.850305212129978e-05,-0.004790492915288406,0.0060276263681400865,2.5491514010006617e-05,4.65854452775113e-06,-1.6046333065678066e-06,-2.2848944430240157e-06,6.428353047799959e-06,-8.713247490823973e-06,0.19981362013537243,0.09994452197038227,0.29981362013537244,0
60,-6.721844762034991,0.14127271671169528,0.3102451803378045,0.00017651950212275072,-0.004792656250403567,0.006023947844743127,2.5496058159130772e-05,4.670857089065124e-06,-1.081379353645933e-06,-6.467634569212241e-06,-6.467634569212241e-06,-6.880735918017853e-07,0.19979674056681046,0.09988274470032027,0.2997967405668106,0
70,-6.719639579773503,0.09333795199878467,0.3704629702975936,0.0002645119885472318,-0.004794192091440713,0.006019478369282975,2.549795707499932e-05,4.682943383461681e-06,-5.579898283427085e-07,1.7468015874459458e-06,-8.247577406020489e-06,-6.500775818574542e-06,0.19976024450307656,0.09989266201700786,0.29976024450307676,0
80,-6.716554640845467,0.0453909671720017,0.43063211323112427,0.00035246890072808087,-0.004795100248546479,0.006014218549661325,2.5497209427969636e-05,4.694804114215581e-06,-3.453314846679212e-08,-9.068956188543443e-06,5.6954963969803805e-06,-3.373459791563061e-06,0.19970429254478025,0.09985113760230535,0.29970429254478054,0
90,-6.712590359024496,-0.002561960330615277,0.49074470917881574,0.0004403786334796473,-0.004795380615998215,0.006008169099974824,2.5493814484795226e-05,4.706439842950365e-06,4.889222612826815e-07,-2.7777076566436526e-06,-8.090377925623547e-06,-2.7777076566436526e-06,0.1997009427049914,0.09983460482156283,0.2997009427049917,0
100,-6.707747264101842,-0.05051455243446409,0.5507928658525403,0.0005282295887325636,-0.004795033172204829,0.00600133084039613,2.5487772108830056e-05,4.717850988681307e-06,1.0123079780409288e-06,-1.1744467700684722e-06,7.198203345940114e-06,-8.372650116008587e-06,0.19963887373059264,0.09983901868684333,0.29963887373059295,0
